Company Name,Model Name,Mobile Weight(gm),RAM(GB),Front Camera(MP),Back Camera(MP),Processor,Battery Capacity(mAh),Screen Size(inches),Launched Year,Price USD,Price INR,Price PKR,Price CNY,Price AED
16,733,146.0,2.0,5,13,162,2300.0,5.5,2014,199.0,16999.0,29999.0,1299.0,699.0
16,725,153.0,1.0,5,13,109,2000.0,5.0,2014,139.0,10999.0,19999.0,899.0,499.0
13,170,189.0,6.0,16,24,168,4000.0,6.0,2016,399.0,32990.0,65000.0,3099.0,1299.0
13,168,143.0,4.0,8,16,163,2600.0,5.2,2016,249.0,19990.0,40000.0,1899.0,799.0
13,222,490.0,1.5,2,5,207,5000.0,10.1,2016,129.0,9999.0,35000.0,899.0,499.0
13,223,360.0,1.5,2,5,113,5000.0,8.0,2016,99.0,8499.0,28000.0,799.0,399.0
16,698,168.0,4.0,8,13,167,3000.0,5.5,2016,179.0,13999.0,24999.0,1199.0,649.0
0,897,174.0,3.0,7,24,0,2716.0,5.8,2017,999.0,89900.0,164999.0,8388.0,3799.0
0,896,174.0,3.0,7,24,0,2716.0,5.8,2017,1099.0,99900.0,184999.0,8788.0,4199.0
13,179,181.0,3.0,13,13,31,3600.0,5.5,2017,179.0,18990.0,40000.0,1599.0,699.0
13,169,165.0,4.0,16,16,164,3300.0,5.7,2017,299.0,22990.0,50000.0,2499.0,999.0
8,446,162.0,6.0,16,36,198,3300.0,6.01,2017,649.0,34999.0,89999.0,3499.0,2499.0
8,445,155.0,8.0,16,36,198,3300.0,5.5,2017,599.0,36999.0,94999.0,3299.0,2399.0
16,746,199.0,6.0,28,16,168,4000.0,5.88,2017,299.0,24999.0,42999.0,2199.0,1099.0
16,702,158.0,4.0,28,16,164,3055.0,5.5,2017,249.0,22999.0,39999.0,1699.0,899.0
16,792,155.0,3.0,16,13,153,3000.0,5.5,2017,179.0,14999.0,27999.0,1199.0,649.0
0,903,177.0,4.0,7,24,1,2658.0,5.8,2018,999.0,99900.0,219999.0,9188.0,3899.0
0,901,177.0,4.0,7,24,1,2658.0,5.8,2018,1099.0,109900.0,239999.0,9788.0,4299.0
0,902,177.0,4.0,7,24,1,2658.0,5.8,2018,1299.0,119900.0,259999.0,10388.0,4799.0
0,906,208.0,4.0,7,24,1,3174.0,6.5,2018,1099.0,109900.0,249999.0,10088.0,4399.0
0,904,208.0,4.0,7,24,1,3174.0,6.5,2018,1249.0,119900.0,269999.0,10688.0,4799.0
0,905,208.0,4.0,7,24,1,3174.0,6.5,2018,1399.0,129900.0,289999.0,11288.0,5099.0
0,900,194.0,3.0,7,24,1,2942.0,6.1,2018,749.0,64900.0,149999.0,6299.0,2699.0
0,898,194.0,3.0,7,24,1,2942.0,6.1,2018,799.0,74900.0,159999.0,6799.0,3099.0
0,899,194.0,3.0,7,24,1,2942.0,6.1,2018,899.0,84900.0,179999.0,7299.0,3399.0
13,180,191.0,4.0,16,21,155,3500.0,6.0,2018,199.0,18990.0,45000.0,1699.0,799.0
13,178,178.0,4.0,8,18,152,3300.0,6.0,2018,169.0,15999.0,40000.0,1499.0,699.0
13,177,175.0,2.0,5,13,30,3000.0,5.5,2018,129.0,9990.0,25000.0,999.0,499.0
8,448,185.0,10.0,16,36,199,3700.0,6.41,2018,799.0,50999.0,149999.0,4699.0,3299.0
8,447,177.0,6.0,16,36,199,3300.0,6.28,2018,599.0,37999.0,99999.0,3499.0,2499.0
16,799,162.0,6.0,12,16,180,3315.0,6.3,2018,249.0,22999.0,39999.0,1699.0,899.0
16,703,150.0,4.0,24,16,165,3260.0,6.3,2018,219.0,19999.0,34999.0,1499.0,799.0
16,795,146.0,3.0,5,13,104,3260.0,6.22,2018,149.0,12999.0,22999.0,999.0,549.0
16,796,163.0,4.0,20,15,154,4030.0,6.22,2018,199.0,16999.0,29999.0,1299.0,699.0
16,713,156.0,6.0,12,12,118,3200.0,6.28,2018,349.0,24990.0,39999.0,2299.0,1199.0
16,714,156.0,4.0,12,12,118,3200.0,6.28,2018,299.0,21990.0,34999.0,1899.0,999.0
5,800,210.0,6.0,16,16,180,3350.0,6.39,2018,299.0,21400.0,49999.0,1998.0,1099.0
0,829,194.0,4.0,12,24,3,3110.0,6.1,2019,699.0,64900.0,159999.0,5499.0,2499.0
0,827,194.0,4.0,12,24,3,3110.0,6.1,2019,799.0,74900.0,169999.0,5899.0,2999.0
0,828,194.0,4.0,12,24,3,3110.0,6.1,2019,899.0,84900.0,179999.0,6299.0,3299.0
0,832,188.0,4.0,16,36,3,3046.0,5.8,2019,999.0,99900.0,219999.0,6999.0,3799.0
0,830,188.0,4.0,16,36,3,3046.0,5.8,2019,1099.0,109900.0,239999.0,7399.0,4199.0
0,831,188.0,4.0,16,36,3,3046.0,5.8,2019,1199.0,119900.0,259999.0,7999.0,4599.0
0,835,226.0,4.0,16,36,3,3969.0,6.5,2019,1099.0,109900.0,269999.0,7799.0,4399.0
0,833,226.0,4.0,16,36,3,3969.0,6.5,2019,1199.0,119900.0,289999.0,8199.0,4599.0
0,834,226.0,4.0,16,36,3,3969.0,6.5,2019,1399.0,129900.0,309999.0,8799.0,4999.0
0,815,300.5,3.0,7,8,1,5124.0,7.9,2019,399.0,39900.0,69999.0,3499.0,1499.0
0,814,300.5,3.0,7,8,1,5124.0,7.9,2019,499.0,49900.0,79999.0,3799.0,1799.0
13,191,196.0,12.0,10,28,35,4300.0,6.8,2019,1099.0,74999.0,160000.0,6299.0,3899.0
13,192,196.0,12.0,10,28,35,4300.0,6.8,2019,1199.0,84999.0,180000.0,6999.0,4199.0
13,190,168.0,8.0,10,28,35,3500.0,6.3,2019,949.0,64999.0,140000.0,5699.0,3699.0
13,189,168.0,8.0,10,28,35,3500.0,6.3,2019,899.0,59999.0,120000.0,5199.0,3399.0
8,449,206.0,12.0,16,56,200,4000.0,6.67,2019,799.0,59999.0,169999.0,4699.0,3299.0
8,451,206.0,12.0,16,56,200,4085.0,6.67,2019,899.0,69999.0,179999.0,5299.0,3799.0
16,682,201.0,8.0,32,48,120,4100.0,6.44,2019,399.0,27990.0,54999.0,2999.0,1499.0
16,683,201.0,8.0,32,48,120,4100.0,6.44,2019,429.0,33990.0,59999.0,3199.0,1599.0
16,647,185.0,6.0,32,48,107,4500.0,6.38,2019,249.0,19990.0,39999.0,2299.0,999.0
16,648,185.0,6.0,32,48,107,4500.0,6.38,2019,269.0,24990.0,44999.0,2499.0,1099.0
16,779,190.0,3.0,8,13,114,5000.0,6.35,2019,149.0,10999.0,18499.0,899.0,599.0
