Company Name,Model Name,Mobile Weight(gm),RAM(GB),Front Camera(MP),Back Camera(MP),Processor,Battery Capacity(mAh),Screen Size(inches),Launched Year
16,733,146.0,2.0,5,13,162,2300.0,5.5,2014
16,725,153.0,1.0,5,13,109,2000.0,5.0,2014
13,170,189.0,6.0,16,24,168,4000.0,6.0,2016
13,168,143.0,4.0,8,16,163,2600.0,5.2,2016
13,222,490.0,1.5,2,5,207,5000.0,10.1,2016
13,223,360.0,1.5,2,5,113,5000.0,8.0,2016
16,698,168.0,4.0,8,13,167,3000.0,5.5,2016
0,897,174.0,3.0,7,24,0,2716.0,5.8,2017
0,896,174.0,3.0,7,24,0,2716.0,5.8,2017
13,179,181.0,3.0,13,13,31,3600.0,5.5,2017
13,169,165.0,4.0,16,16,164,3300.0,5.7,2017
8,446,162.0,6.0,16,36,198,3300.0,6.01,2017
8,445,155.0,8.0,16,36,198,3300.0,5.5,2017
16,746,199.0,6.0,28,16,168,4000.0,5.88,2017
16,702,158.0,4.0,28,16,164,3055.0,5.5,2017
16,792,155.0,3.0,16,13,153,3000.0,5.5,2017
0,903,177.0,4.0,7,24,1,2658.0,5.8,2018
0,901,177.0,4.0,7,24,1,2658.0,5.8,2018
0,902,177.0,4.0,7,24,1,2658.0,5.8,2018
0,906,208.0,4.0,7,24,1,3174.0,6.5,2018
0,904,208.0,4.0,7,24,1,3174.0,6.5,2018
0,905,208.0,4.0,7,24,1,3174.0,6.5,2018
0,900,194.0,3.0,7,24,1,2942.0,6.1,2018
0,898,194.0,3.0,7,24,1,2942.0,6.1,2018
0,899,194.0,3.0,7,24,1,2942.0,6.1,2018
13,180,191.0,4.0,16,21,155,3500.0,6.0,2018
13,178,178.0,4.0,8,18,152,3300.0,6.0,2018
13,177,175.0,2.0,5,13,30,3000.0,5.5,2018
8,448,185.0,10.0,16,36,199,3700.0,6.41,2018
8,447,177.0,6.0,16,36,199,3300.0,6.28,2018
16,799,162.0,6.0,12,16,180,3315.0,6.3,2018
16,703,150.0,4.0,24,16,165,3260.0,6.3,2018
16,795,146.0,3.0,5,13,104,3260.0,6.22,2018
16,796,163.0,4.0,20,15,154,4030.0,6.22,2018
16,713,156.0,6.0,12,12,118,3200.0,6.28,2018
16,714,156.0,4.0,12,12,118,3200.0,6.28,2018
5,800,210.0,6.0,16,16,180,3350.0,6.39,2018
0,829,194.0,4.0,12,24,3,3110.0,6.1,2019
0,827,194.0,4.0,12,24,3,3110.0,6.1,2019
0,828,194.0,4.0,12,24,3,3110.0,6.1,2019
0,832,188.0,4.0,16,36,3,3046.0,5.8,2019
0,830,188.0,4.0,16,36,3,3046.0,5.8,2019
0,831,188.0,4.0,16,36,3,3046.0,5.8,2019
0,835,226.0,4.0,16,36,3,3969.0,6.5,2019
0,833,226.0,4.0,16,36,3,3969.0,6.5,2019
0,834,226.0,4.0,16,36,3,3969.0,6.5,2019
0,815,300.5,3.0,7,8,1,5124.0,7.9,2019
0,814,300.5,3.0,7,8,1,5124.0,7.9,2019
13,191,196.0,12.0,10,28,35,4300.0,6.8,2019
13,192,196.0,12.0,10,28,35,4300.0,6.8,2019
13,190,168.0,8.0,10,28,35,3500.0,6.3,2019
13,189,168.0,8.0,10,28,35,3500.0,6.3,2019
8,449,206.0,12.0,16,56,200,4000.0,6.67,2019
8,451,206.0,12.0,16,56,200,4085.0,6.67,2019
16,682,201.0,8.0,32,48,120,4100.0,6.44,2019
16,683,201.0,8.0,32,48,120,4100.0,6.44,2019
16,647,185.0,6.0,32,48,107,4500.0,6.38,2019
16,648,185.0,6.0,32,48,107,4500.0,6.38,2019
16,779,190.0,3.0,8,13,114,5000.0,6.35,2019
16,780,190.0,3.0,8,13,114,5000.0,6.35,2019
16,678,190.0,6.0,32,48,108,4000.0,6.53,2019
16,679,190.0,6.0,32,48,108,4000.0,6.53,2019
16,715,190.0,8.0,32,48,130,4000.0,6.39,2019
16,716,190.0,8.0,32,48,130,4000.0,6.39,2019
16,798,159.0,4.0,16,16,131,4500.0,6.53,2019
16,797,159.0,6.0,16,16,131,4500.0,6.53,2019
16,680,185.0,6.0,32,48,120,3700.0,6.39,2019
16,681,185.0,6.0,32,48,120,3700.0,6.39,2019
16,722,199.0,8.0,32,64,146,4200.0,6.44,2019
16,723,199.0,8.0,32,64,146,4200.0,6.44,2019
9,620,181.0,8.0,32,76,10,4025.0,6.4,2019
9,621,181.0,12.0,32,76,10,4025.0,6.4,2019
9,622,171.0,12.0,32,71,185,4025.0,6.5,2019
5,281,172.0,4.0,16,13,166,4050.0,6.22,2019
5,57,172.0,3.0,5,13,41,4000.0,6.09,2019
5,280,164.0,4.0,16,16,180,4050.0,6.3,2019
5,279,164.0,6.0,16,16,180,4050.0,6.3,2019
5,801,185.0,6.0,32,48,200,4000.0,6.39,2019
5,802,185.0,8.0,32,48,200,4000.0,6.39,2019
1,544,147.0,4.0,8,14,170,3000.0,5.6,2019
1,545,167.0,4.0,8,14,170,3700.0,6.0,2019
1,546,162.0,6.0,8,14,200,2800.0,5.7,2019
1,547,193.0,6.0,8,14,200,3700.0,6.3,2019
0,847,135.0,4.0,12,12,4,2227.0,5.4,2020
0,845,135.0,4.0,12,12,4,2227.0,5.4,2020
0,846,135.0,4.0,12,12,4,2227.0,5.4,2020
0,838,164.0,4.0,12,24,4,2815.0,6.1,2020
0,836,164.0,4.0,12,24,4,2815.0,6.1,2020
0,837,164.0,4.0,12,24,4,2815.0,6.1,2020
0,839,189.0,6.0,16,36,4,2815.0,6.1,2020
0,840,189.0,6.0,16,36,4,2815.0,6.1,2020
0,841,189.0,6.0,16,36,4,2815.0,6.1,2020
0,842,228.0,6.0,16,36,4,3687.0,6.7,2020
0,843,228.0,6.0,16,36,4,3687.0,6.7,2020
0,844,228.0,6.0,16,36,4,3687.0,6.7,2020
0,813,458.0,4.0,12,12,4,7608.0,10.9,2020
0,812,458.0,4.0,12,12,4,7608.0,10.9,2020
0,811,490.0,3.0,12,8,3,8612.0,10.2,2020
0,810,490.0,3.0,12,8,3,8612.0,10.2,2020
0,816,468.0,4.0,7,22,2,7812.0,11.0,2020
0,817,468.0,4.0,7,22,2,7812.0,11.0,2020
0,818,468.0,6.0,7,22,2,7812.0,11.0,2020
0,819,682.0,6.0,7,22,2,9720.0,12.9,2020
0,820,682.0,6.0,7,22,2,9720.0,12.9,2020
0,821,682.0,6.0,7,22,2,9720.0,12.9,2020
0,822,708.0,6.0,7,22,2,10307.0,13.0,2020
0,824,708.0,6.0,7,22,2,10307.0,13.0,2020
0,826,708.0,6.0,7,22,2,10307.0,13.0,2020
